[TURBINES]
SPECIFIC SPEED (US/SI): 30 / 115 Range: SI 111-178, US 25-40
NUMGATES: 9
220.18 36.03 38.97
200.11 33.34 33.62
180.12 30.69 28.28
159.96 27.98 23.03
139.98 25.3 17.64
119.92 22.66 12.35
100.1 20.04 7.01
90.0 19.0 3.96
79.94 17.97 0.96
69.93 14.99 -2.03
59.99 12.04 -6.0
50.06 10.01 -11.01
39.96 5.99 -15.98
30.04 1.98 -24.03
GATE: 30.00 15
240.1 62.67 73.47
220.04 58.03 66.01
200.02 53.31 58.61
179.87 48.65 51.26
160.1 44.03 44.03
139.98 39.34 36.67
120.0 34.68 29.28
100.06 30.04 22.01
90.08 27.98 17.02
80.08 26.05 12.01
69.99 22.03 7.0
60.0 19.0 0.0
49.96 14.99 -6.99
39.96 10.01 -13.99
30.03 5.99 -22.01
GATE: 40.00 15
240.19 79.36 134.02
219.8 73.96 119.79
200.08 68.68 106.04
179.91 63.37 91.93
159.98 58.03 77.91
140.03 52.67 64.0
119.94 47.3 50.01
100.02 42.02 36.01
90.03 38.99 29.98
80.1 36.03 23.07
69.95 30.04 16.02
60.08 22.03 7.99
49.45 18.9 -1.98
39.94 14.99 -9.99
30.0 10.01 -21.0
GATE: 50.00 15
239.91 99.68 158.34
219.8 92.94 142.87
199.69 86.27 127.4
179.91 79.68 112.26
160.16 73.03 97.06
140.02 66.35 81.63
120.05 59.64 66.39
100.14 53.06 51.07
90.11 50.02 42.08
80.06 45.96 34.02
69.94 42.02 23.99
60.04 36.03 13.99
49.95 31.02 4.0
40.01 24.03 -8.0
30.02 16.01 -20.02
GATE: 60.00 15
240.19 107.99 215.45
220.07 102.1 194.1
199.85 95.96 172.47
179.91 90.0 151.3
160.19 84.02 130.07
140.09 78.06 108.71
119.96 71.97 87.33
100.15 66.06 66.1
89.91 61.97 54.94
79.96 56.96 43.98
69.96 52.04 34.0
59.93 44.99 22.0
50.03 38.99 10.01
39.95 32.01 -4.0
30.05 24.03 -18.03
GATE: 70.00 15
239.96 132.09 247.88
219.77 123.91 223.72
200.04 116.11 200.04
180.17 107.99 176.21
159.97 100.08 151.98
140.09 92.01 128.04
120.09 84.02 104.12
99.95 75.99 79.96
90.0 71.97 66.96
80.04 67.07 55.07
69.97 61.97 41.98
60.05 54.99 29.0
49.94 48.03 14.98
39.98 40.03 0.0
30.04 32.01 -16.01
GATE: 80.00 15
239.47 159.5 279.7
220.29 149.03 253.34
200.19 138.31 225.82
180.08 127.79 198.45
160.14 117.05 171.19
140.05 106.27 143.7
120.03 95.58 116.31
100.07 85.05 89.06
89.93 79.03 74.91
79.97 73.96 61.02
69.99 67.94 48.02
59.92 61.97 33.98
50.07 58.03 20.03
40.02 49.02 6.0
30.01 42.02 -9.99
GATE: 90.00 15
240.68 179.2 298.45
219.66 166.83 268.65
200.14 154.99 240.57
180.2 143.08 211.91
160.2 131.0 183.27
139.87 118.97 154.14
119.9 106.91 125.54
100.01 95.01 97.01
90.01 88.92 82.0
79.95 83.0 67.95
69.98 76.94 53.95
60.11 71.06 40.09
50.05 65.06 25.02
39.97 60.05 13.99
30.02 53.06 -3.99
GATE: 100.00 15
240.67 188.84 315.52
219.92 175.88 283.92
200.01 163.47 253.41
180.01 150.65 222.68
159.94 138.02 191.92
140.17 125.45 161.48
119.92 112.65 130.59
100.05 100.08 100.05
89.99 94.06 86.03
79.91 88.03 69.92
70.01 82.0 56.0
60.02 76.94 43.03
50.08 75.05 32.05
39.95 71.97 19.97
30.04 70.01 6.01
